attack,model,accuracy
DrDoS_DNS,KNN,13.24
DrDoS_DNS,Logistic,12.5
DrDoS_DNS,Naive,6.62
DrDoS_DNS,Random,47.43
DrDoS_DNS,SVM,16.54
DrDoS_LDAP,KNN,15.0
DrDoS_LDAP,Logistic,0.0
DrDoS_LDAP,Naive,85.33
DrDoS_LDAP,Random,68.0
DrDoS_LDAP,SVM,0.0
DrDoS_MSSQL,KNN,0.0
DrDoS_MSSQL,Logistic,0.0
DrDoS_MSSQL,Naive,33.0
DrDoS_MSSQL,Random,33.0
DrDoS_MSSQL,SVM,0.0
DrDoS_NetBIOS,KNN,11.49
DrDoS_NetBIOS,Logistic,0.0
DrDoS_NetBIOS,Naive,0.0
DrDoS_NetBIOS,Random,18.24
DrDoS_NetBIOS,SVM,0.0
DrDoS_NTP,KNN,41.94
DrDoS_NTP,Logistic,45.16
DrDoS_NTP,Naive,91.94
DrDoS_NTP,Random,35.48
DrDoS_NTP,SVM,37.1
DrDoS_SNMP,KNN,33.0
DrDoS_SNMP,Logistic,0.0
DrDoS_SNMP,Naive,0.0
DrDoS_SNMP,Random,1.67
DrDoS_SNMP,SVM,0.0
DrDoS_SSDP,KNN,68.0
DrDoS_SSDP,Logistic,0.0
DrDoS_SSDP,Naive,0.0
DrDoS_SSDP,Random,4.41
DrDoS_SSDP,SVM,0.0
DrDoS_UDP,KNN,58.33
DrDoS_UDP,Logistic,71.67
DrDoS_UDP,Naive,48.67
DrDoS_UDP,Random,48.33
DrDoS_UDP,SVM,99.33
Syn,KNN,97.0
Syn,Logistic,98.13
Syn,Naive,100.0
Syn,Random,97.38
Syn,SVM,99.63
TFTP,KNN,32.95
TFTP,Logistic,23.37
TFTP,Naive,0.0
TFTP,Random,31.42
TFTP,SVM,14.94
